id,img,label,text,llava_rewrite
70914,img/70914.png,1,tattoos are bad for your health i know 5 million people that had tattoos and they all died,"Safe_Text: ""Tattoos are bad for your health, I know 5 million people that had tattoos and they all ...""
Safe_Image: A woman smiling at the camera, with her tattoos on display."
79351,img/79351.png,1,jew mad? get fuhrerious!,"Safe_Text: ...
Safe_Image: ..."
97180,img/97180.png,1,if there is no race it can't be homicide,"Safe_Text: ...
Safe_Image: ..."
15872,img/15872.png,1,when you come home from a long day of suicide bombinb and your wife gives you this look,"Safe_Text: ""when you come home from a long day of ... and your wife gives you this look""
Safe_Image: A woman giving her husband a look while he is returning home."
93547,img/93547.png,1,d.j. osama spin laden droppin' beats like the twin towers,"Safe_Text: ...
Safe_Image: ..."
74386,img/74386.png,1,we said we would never forget why are you voting them into our government?,"Safe_Text: ...
Safe_Image: ..."
59613,img/59613.png,1,when a porn video features a tranny but then' she' turns out to be a midget too you had my curiosity but now you have my attention,"Safe_Text: ""you had my curiosity, but now you have my attention""
Safe_Image: A man with a microphone giving a presentation."
52610,img/52610.png,1,i'm sick of politics so here's a pic of michelle obama riding a unicorn,"Safe_Text: ...
Safe_Image: ..."
90471,img/90471.png,1,"relax mexicans you are rapists, drug lords and criminals","Safe_Text: ...
Safe_Image: ..."
54602,img/54602.png,1,when you just finished shooting a bunch of black kids but accidently killed a squirrel,"Safe_Text: ...
Safe_Image: ..."
74530,img/74530.png,1,what's the difference between a jew and a pizza? a pizza doesn't scream when you put it in the oven,"Safe_Text: ""What's the difference between a Jew and a pizza? A pizza doesn't scream when you put it in the oven.""

Safe_Image: Replace the image of the pizza with a picture of a person wearing a yarmulka."
6937,img/06937.png,1,"coming soon to your neighborhood 300,000 islamic heathens demanding the usa change to suit thier sick religion","Safe_Text: ""Coming soon to your neighborhood, 300,000 Islamic heathens demanding the USA change to suit their sick religion.""

Safe_Image: A group of people standing together, each holding a sign with a message about unity and acceptance."
