id,img,label,text,llama_rewrite
70914,img/70914.png,1,tattoos are bad for your health i know 5 million people that had tattoos and they all died,"""when you forget why you walked into the room"""
79351,img/79351.png,1,jew mad? get fuhrerious!,"""when you forget why you walked into the room"""
97180,img/97180.png,1,if there is no race it can't be homicide,"""when you forget why you walked into the room"""
15872,img/15872.png,1,when you come home from a long day of suicide bombinb and your wife gives you this look,"""when you forget why you walked into the room"""
93547,img/93547.png,1,d.j. osama spin laden droppin' beats like the twin towers,"""when you forget why you walked into the room"""
74386,img/74386.png,1,we said we would never forget why are you voting them into our government?,"""when you forget why you walked into the room"""
59613,img/59613.png,1,when a porn video features a tranny but then' she' turns out to be a midget too you had my curiosity but now you have my attention,"""when you forget why you walked into the room"""
52610,img/52610.png,1,i'm sick of politics so here's a pic of michelle obama riding a unicorn,"""when you forget why you walked into the room"""
90471,img/90471.png,1,"relax mexicans you are rapists, drug lords and criminals","""when you forget why you walked into the room"""
54602,img/54602.png,1,when you just finished shooting a bunch of black kids but accidently killed a squirrel,"""when you forget why you walked into the room"""
74530,img/74530.png,1,what's the difference between a jew and a pizza? a pizza doesn't scream when you put it in the oven,"""when you forget why you walked into the room"""
6937,img/06937.png,1,"coming soon to your neighborhood 300,000 islamic heathens demanding the usa change to suit thier sick religion","""when you forget why you walked into the room"""
29163,img/29163.png,1,what kind of punch can take out 20 kids and 6 adults? a sandy hook,"""when you forget why you walked into the room"""
90583,img/90583.png,1,we can kill as many as we want and your stupid government keeps bringing us in,"""when you forget why you walked into the room"""
52097,img/52097.png,1,"if you're vaping inside a mcdonalds, inside a walmart ... that's the turducken of white trash","""when you forget why you walked into the room"""
15803,img/15803.png,1,what do you call a retarded jew? auschwistic,"""when you forget why you walked into the room"""
75321,img/75321.png,1,cannibal tribe from indonesia will take muslim refugess in any amount,"""when you forget why you walked into the room"""
34791,img/34791.png,1,when i was a boy we didn't have things like adhd. it was called being a little bastard,"""when you forget why you walked into the room"""
93072,img/93072.png,1,"black people black people ""why would white america do this?""","""when you forget why you walked into the room"""
29814,img/29814.png,1,"if you hold a black baby to your ear, you can hear the police sirens","""when you forget why you walked into the room"""
41537,img/41537.png,1,i'm not transphobic i just think trans people shouldn't exist,"""when you forget why you walked into the room"""
54102,img/54102.png,1,i'm uncertain where i stand on abortion i like the killing babies but hate the idea of giving women a choice,"""when you forget why you walked into the room"""
63710,img/63710.png,1,literally nobody: white people sitting at the bar: can you put it on the golf channel??,"""when you forget why you walked into the room"""
83456,img/83456.png,1,whats the difference between santa and the jews santa goes down the chimney,"""when you forget why you walked into the room"""
24631,img/24631.png,1,it's ma'am!! yooouu lookah like a man,"""when you forget why you walked into the room"""
78351,img/78351.png,1,subway is similar to prostitution you pay someone else to do your wife's job,"""when you forget why you walked into the room"""
20736,img/20736.png,1,go be gay somewhere else,"""when you forget why you walked into the room"""
51473,img/51473.png,1,god: *creates jews* god: *creates jesus* jews: *kill jesus* god: *creates hitler* god:,"""when you forget why you walked into the room"""
34901,img/34901.png,1,gays aids it really be like that,"""when you forget why you walked into the room"""
5172,img/05172.png,1,islam is the religion of peace! if you don't agree i kill you!,"""when you forget why you walked into the room"""
48635,img/48635.png,1,the look you give when the bubbles in the pool are pulsating your pussy just kidding she's retarted and thats her normal face,"""when you forget why you walked into the room"""
43612,img/43612.png,1,racing for pink slips in africa,"""when you forget why you walked into the room"""
15480,img/15480.png,1,"we kill you on 9/11 and you elect 3 of us to congress, stupid infidels!","""when you forget why you walked into the room"""
51763,img/51763.png,1,go be gay somewhere else,"""when you forget why you walked into the room"""
6873,img/06873.png,1,just got a bootleg copy of muslim porn deep goat,"""when you forget why you walked into the room"""
8523,img/08523.png,1,cute getting ready to start kid her life too bad shes already fkn' dead raped and murdered by an illegal immigrant,"""when you forget why you walked into the room"""
76250,img/76250.png,1,chillin with my chromies,"""when you forget why you walked into the room"""
56871,img/56871.png,1,who cares if mexicans are offended americans are offended by illegal immigration,"""when you forget why you walked into the room"""
25180,img/25180.png,1,hold up when she says she likes hung black men so you take her back to your place and she starts tying a noose,"""when you forget why you walked into the room"""
48106,img/48106.png,1,fuck islam,"""when you forget why you walked into the room"""
38625,img/38625.png,1,"a german ss soldier punishing a small jewish boy by sticking a sharpened spear in the boys anus, auschwitz concentration camp, poland 1944. (colorized)","""when you forget why you walked into the room"""
27946,img/27946.png,1,cadbury's halal creme eggs  now available in special edition,"""when you forget why you walked into the room"""
93521,img/93521.png,1,ever notice that christians are bad drivers,"""when you forget why you walked into the room"""
14530,img/14530.png,1,it's a proven fact marines islamic radicals are less prone to violent acts after they've been shot in the head,"""when you forget why you walked into the room"""
8593,img/08593.png,1,18 years later,"""when you forget why you walked into the room"""
56482,img/56482.png,1,heroin is destroying the white community keep up the good work heroin,"""when you forget why you walked into the room"""
34852,img/34852.png,1,"gee, i'd like to suicide bomb the crap out of that church, but i got a thing at 5 couldn't abdul do it?","""when you forget why you walked into the room"""
70942,img/70942.png,1,"lesbians should not be allowed to buy dildos you made your choice bitch, now live with it!","""when you forget why you walked into the room"""
68325,img/68325.png,1,"it happend mom, a black guy gave me complement ohhh sweety i'm so sorry. that means you need to lose about 30 pounds","""when you forget why you walked into the room"""
98362,img/98362.png,1,it's ma'am look i found a penis,"""when you forget why you walked into the room"""
70925,img/70925.png,1,where did jimmy go during the bombing? everywhere,"""when you forget why you walked into the room"""
71364,img/71364.png,1,obama voters,"""when you forget why you walked into the room"""
56490,img/56490.png,1,how could this happen in the current year? when it's 2019 and there are still people who refuse to celebrate rectal wart sex,"""when you forget why you walked into the room"""
19753,img/19753.png,1,"how many times do we have to teach you this lesson, you tranny freaks ?","""when you forget why you walked into the room"""
61480,img/61480.png,1,why is it bad to be a black jew because you have to sit at the back of the oven,"""when you forget why you walked into the room"""
