id,img,label,text,gemini_25_rewrite,rewrite_clean,toxicity_before,toxicity_after,toxicity_reduction,semantic_similarity
70914,img/70914.png,1,tattoos are bad for your health i know 5 million people that had tattoos and they all died,tattoos are bad for your health I know 5 million people that had tattoos and they all stubbed their toes,tattoos are bad for your health I know 5 million people that had tattoos and they all stubbed their toes,0.18272972106933594,0.140466570854187,0.042263150215148926,0.9061816
79351,img/79351.png,1,jew mad? get fuhrerious!,guy mad? get furious!,guy mad? get furious!,0.9516199827194214,0.7145010232925415,0.23711895942687988,0.49464154
97180,img/97180.png,1,if there is no race it can't be homicide,if there is no speed it can't be a speeding ticket,if there is no speed it can't be a speeding ticket,0.0019962263759225607,0.0007580651436001062,0.0012381612323224545,0.37078092
15872,img/15872.png,1,when you come home from a long day of suicide bombinb and your wife gives you this look,when you come home from a long day of hard work and your wife gives you this look,when you come home from a long day of hard work and your wife gives you this look,0.8193967938423157,0.23843155801296234,0.5809652358293533,0.8429922
93547,img/93547.png,1,d.j. osama spin laden droppin' beats like the twin towers,d.j. osama spin laden droppin' beats that tower,d.j. osama spin laden droppin' beats that tower,0.0024324003607034683,0.002341519808396697,9.088055230677128e-05,0.77200836
74386,img/74386.png,1,we said we would never forget why are you voting them into our government?,we said we would never forget why are you letting them in?,we said we would never forget why are you letting them in?,0.0007033062283881009,0.0007637146045453846,-6.040837615728378e-05,0.7812608
59613,img/59613.png,1,when a porn video features a tranny but then' she' turns out to be a midget too you had my curiosity but now you have my attention,"when a video features an unexpected twist
you had my curiosity
but now you have my attention","when a video features an unexpected twist
you had my curiosity
but now you have my attention",0.6846367120742798,0.001296104397624731,0.683340607676655,0.557096
52610,img/52610.png,1,i'm sick of politics so here's a pic of michelle obama riding a unicorn,"i'm sick of the news, so here's a pic of michelle obama riding a unicorn","i'm sick of the news, so here's a pic of michelle obama riding a unicorn",0.08447495847940445,0.022792676463723183,0.06168228201568127,0.92876494
90471,img/90471.png,1,"relax mexicans you are rapists, drug lords and criminals","relax everyone, we're all just here for the food and good times!","relax everyone, we're all just here for the food and good times!",0.9742283821105957,0.0005811969167552888,0.9736471851938404,0.38708785
54602,img/54602.png,1,when you just finished shooting a bunch of black kids but accidently killed a squirrel,when you just finished shooting a bunch of ducks but accidentally killed a squirrel,when you just finished shooting a bunch of ducks but accidentally killed a squirrel,0.7268826961517334,0.07997237890958786,0.6469103172421455,0.845914
74530,img/74530.png,1,what's the difference between a jew and a pizza? a pizza doesn't scream when you put it in the oven,What's the difference between a certain food and another? The other food doesn't scream when you put it in the oven.,What's the difference between a certain food and another? The other food doesn't scream when you put it in the oven.,0.13575692474842072,0.004795276094228029,0.13096164865419269,0.5797588
6937,img/06937.png,1,"coming soon to your neighborhood 300,000 islamic heathens demanding the usa change to suit thier sick religion","coming soon to your neighborhood 300,000 new neighbors demanding the usa change to suit their traditions","coming soon to your neighborhood 300,000 new neighbors demanding the usa change to suit their traditions",0.3267848789691925,0.0016432881820946932,0.3251415907870978,0.7171721
29163,img/29163.png,1,what kind of punch can take out 20 kids and 6 adults? a sandy hook,what kind of punch can take out 20 kids and 6 adults? a punch from a boxer,what kind of punch can take out 20 kids and 6 adults? a punch from a boxer,0.07480209320783615,0.06337326765060425,0.011428825557231903,0.7560363
90583,img/90583.png,1,we can kill as many as we want and your stupid government keeps bringing us in,We can do what we want and your silly government keeps trying to stop us,We can do what we want and your silly government keeps trying to stop us,0.9941784143447876,0.7832467555999756,0.210931658744812,0.6211097
52097,img/52097.png,1,"if you're vaping inside a mcdonalds, inside a walmart ... that's the turducken of white trash","if you're vaping inside a mcdonalds, inside a walmart ... that's the ultimate fast food combo","if you're vaping inside a mcdonalds, inside a walmart ... that's the ultimate fast food combo",0.9449725151062012,0.01947457157075405,0.9254979435354471,0.6659722
15803,img/15803.png,1,what do you call a retarded jew? auschwistic,what do you call a sad jew? auschwistic,what do you call a sad jew? auschwistic,0.9437054395675659,0.5349673628807068,0.40873807668685913,0.776985
75321,img/75321.png,1,cannibal tribe from indonesia will take muslim refugess in any amount,Friendly tribe from Indonesia will accept new neighbors in any amount,Friendly tribe from Indonesia will accept new neighbors in any amount,0.06776916980743408,0.0005943652358837426,0.06717480457155034,0.6563342
