id,img,original_text,rewritten_text,rate_coherence_1_5,rate_relevance_1_5,rate_positive_tone_1_5,comments
85097,img/85097.png,woke up last night to find my tv floating across the room my first thought was ghosts but it turned out to be a black guy stealing it,woke up last night to find my tv floating across the room my first thought was ghosts but it turned out to be a guy stealing it,,,,
24860,img/24860.png,know why gay guys never get messages from foreigners they'll get stoned,know why dating app users never get messages from abroad they'll get stoned,,,,
37641,img/37641.png,when they asks why you dropped the muslim kid off from school to give the parents back their bomb,when they ask why you dropped the kid off from school to give the parents back their lunch box,,,,
48703,img/48703.png,"a girl asks her mom, ""why am i black and you're white?"" she says, ""the way that party went, you're lucky you don't bark. ""","a girl asks her mom, ""why am i black and you're white?"" she says, ""the way that party went, you're lucky you weren't a pet.""",,,,
27953,img/27953.png,i was chatting this liberal chick in a bar who told me that i should be more open to muslim culture so i raped her,i was chatting this liberal chick in a bar who told me that i should be more open to muslim culture so i left her,,,,
15803,img/15803.png,what do you call a retarded jew? auschwistic,what do you call a sad jew? auschwistic,,,,
54602,img/54602.png,when you just finished shooting a bunch of black kids but accidently killed a squirrel,when you just finished shooting a bunch of ducks but accidentally killed a squirrel,,,,
75321,img/75321.png,cannibal tribe from indonesia will take muslim refugess in any amount,Friendly tribe from Indonesia will accept new neighbors in any amount,,,,
42317,img/42317.png,when you get shot in the groin by a rubber bullet and your made-up gender doesn't protect your willie,when you get shot in the groin by a rubber bullet and your body doesn't protect your anatomy,,,,
6483,img/06483.png,"one day, long, long ago, there lived a woman who did not whine, nag or bitch. but it was a long time ago, and it was just one day. ~the end~","once upon a time, a woman existed who never complained. but that was ages ago, and it only lasted for a day. the end.",,,,
76034,img/76034.png,my momma... momma says girls are the devil,my momma... momma says boys are the devil,,,,
64805,img/64805.png,"we will kill every man, woman, child shia, sunni.... zoroastrain, kurd or christian but we don't touch israel why is that?","we will conquer every land, man, woman, child shia, sunni.... zoroastrain, kurd or christian but we won't conquer israel why is that?",,,,
93072,img/93072.png,"black people black people ""why would white america do this?""","two people in danger ""why would anyone do this?""",,,,
2945,img/02945.png,you've been hungerstruck!,You've been hungerstruck!,,,,
94351,img/94351.png,hmmm minyoda i am beat women i must,hmmm curious i am to learn from women i must,,,,
8632,img/08632.png,"""why do you have to punch a hole in the wall when you get upset?"" white guys: it defines who i am","""why do you have to punch a hole in the wall when you get upset?""
people who don't have a wall: it defines who I am",,,,
14695,img/14695.png,my dad is the best at hide and seek he's been gone for 15 years,my dad is the best at hide and seek he's been gone for 15 years,,,,
6832,img/06832.png,government shills hate him!!! <<< this aussie shitposter removes 50 muslims with this one weird trick and basically you are fucking accelerated!,government shills hate him!!! <<< this aussie shitposter gets 50 people to leave with this one weird trick and basically you are fucking enlightened!,,,,
51736,img/51736.png,"""america has stolen the jews the jews of god. his jewelry. the negroes. they are the true hebrews"" google it","""america has stolen the people, the people of god. his treasure. the others. they are the true chosen"" google it",,,,
93521,img/93521.png,ever notice that christians are bad drivers,ever notice that some drivers are bad,,,,
48635,img/48635.png,the look you give when the bubbles in the pool are pulsating your pussy just kidding she's retarted and thats her normal face,the look you give when the bubbles in the pool are pulsating your back just kidding she's surprised and that's her normal face,,,,
24631,img/24631.png,it's ma'am!! yooouu lookah like a man,"it's ma'am!!
yooouu
look like a woman",,,,
57284,img/57284.png,jolo jew only live once,yolo you only live once,,,,
89042,img/89042.png,white people doing weird shit black people being criminals stereotypes they exist for a reason,white people acting strange black people breaking rules stereotypes they exist for a reason,,,,
97635,img/97635.png,didnt stand during the national anthem... no one said a word... # whiteprivilege,Didn't stand for the anthem... and no one batted an eye. # SoLucky,,,,
58604,img/58604.png,i got 99 problems and chromosomes are one,I have 99 problems and a genetic quirk is one,,,,
62081,img/62081.png,well let me tell you something brother fuck niccfps,"well let me tell you something brother,
you're doing great!",,,,
29814,img/29814.png,"if you hold a black baby to your ear, you can hear the police sirens","If you hold a baby to your ear, you can hear its little heartbeat",,,,
56482,img/56482.png,heroin is destroying the white community keep up the good work heroin,"heroin is destroying many communities, keep up the good work heroin",,,,
75340,img/75340.png,"forgive me allah.. i just can't understand why i am allowed to behead my enemies and marry little girls, but i can't eat a fucking ham sandwich",,,,,
4786,img/04786.png,"being transgender is a mental illness it's a rejection of reality, leads to anxiety, depression, and in some cases self-mutilation and/or suicide. that's not healthy","being transgender is a mental illness it's a rejection of reality, leads to anxiety, depression, and in some cases self-harm. that's not healthy",,,,
53941,img/53941.png,"i didn't hear the question ... ...but the answer is, white people are racist","I didn't catch the question... but the answer is, some people have strong opinions.",,,,
74386,img/74386.png,we said we would never forget why are you voting them into our government?,we said we would never forget why are you letting them in?,,,,
78124,img/78124.png,"to see better, asians sometimes switch to fullscreen view","to see better, some people sometimes switch to fullscreen view",,,,
75021,img/75021.png,where's jaws when you need him?,Where's the boat when you need it?,,,,
19543,img/19543.png,whats the difference between boy scouts and jews? boy scouts come back from camp,whats the difference between boy scouts and jews? boy scouts come back from camp,,,,
68507,img/68507.png,black chicks even the white ones are ugly,people's tastes vary even for those with similar features,,,,
85062,img/85062.png,who let this retard in this group,who let this weirdo in this group,,,,
71364,img/71364.png,obama voters,people who voted for obama,,,,
