id,img,label,text,llama_rewrite,rewrite_clean,toxicity_before,toxicity_after,toxicity_reduction,semantic_similarity
70914,img/70914.png,1,tattoos are bad for your health i know 5 million people that had tattoos and they all died,"""when you forget why you walked into the room""","""when you forget why you walked into the room""",0.18272972106933594,0.0012030864600092173,0.18152663460932672,-0.06848601
79351,img/79351.png,1,jew mad? get fuhrerious!,"""when you forget why you walked into the room""","""when you forget why you walked into the room""",0.9516199827194214,0.0012030864600092173,0.9504168962594122,0.11459569
97180,img/97180.png,1,if there is no race it can't be homicide,"""when you forget why you walked into the room""","""when you forget why you walked into the room""",0.0019962263759225607,0.0012030864600092173,0.0007931399159133434,0.023758665
15872,img/15872.png,1,when you come home from a long day of suicide bombinb and your wife gives you this look,"""when you forget why you walked into the room""","""when you forget why you walked into the room""",0.8193967938423157,0.0012030864600092173,0.8181937073823065,0.38714895
93547,img/93547.png,1,d.j. osama spin laden droppin' beats like the twin towers,"""when you forget why you walked into the room""","""when you forget why you walked into the room""",0.0024324003607034683,0.0012030864600092173,0.001229313900694251,0.122533664
74386,img/74386.png,1,we said we would never forget why are you voting them into our government?,"""when you forget why you walked into the room""","""when you forget why you walked into the room""",0.0007033062283881009,0.0012030864600092173,-0.0004997802316211164,0.2183399
59613,img/59613.png,1,when a porn video features a tranny but then' she' turns out to be a midget too you had my curiosity but now you have my attention,"""when you forget why you walked into the room""","""when you forget why you walked into the room""",0.6846367120742798,0.0012030864600092173,0.6834336256142706,0.1489017
52610,img/52610.png,1,i'm sick of politics so here's a pic of michelle obama riding a unicorn,"""when you forget why you walked into the room""","""when you forget why you walked into the room""",0.08447495847940445,0.0012030864600092173,0.08327187201939523,0.025957769
90471,img/90471.png,1,"relax mexicans you are rapists, drug lords and criminals","""when you forget why you walked into the room""","""when you forget why you walked into the room""",0.9742283821105957,0.0012030864600092173,0.9730252956505865,0.03243284
54602,img/54602.png,1,when you just finished shooting a bunch of black kids but accidently killed a squirrel,"""when you forget why you walked into the room""","""when you forget why you walked into the room""",0.7268826961517334,0.0012030864600092173,0.7256796096917242,0.33417258
74530,img/74530.png,1,what's the difference between a jew and a pizza? a pizza doesn't scream when you put it in the oven,"""when you forget why you walked into the room""","""when you forget why you walked into the room""",0.13575692474842072,0.0012030864600092173,0.1345538382884115,0.10760553
